"YearStart","LocationAbbr","LocationDesc","Class","Question","Data_Value","QuestionRenamed"
"2012","NC","North Carolina","Physical Activity","State provides guidance on policies for school districts or schools on recess","Yes","State Guidance on Policies for School Recess"
"2015","MS","Mississippi","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2018","TN","Tennessee","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2014","MS","Mississippi","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","Yes","State-National Alignment on Vegetable Serving Regulations"
"2015","WA","Washington","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.2","La Leche Leaders Count"
"2016","TN","Tennessee","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2019","KS","Kansas","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2019","MS","Mississippi","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2014","WI","Wisconsin","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2012","NJ","New Jersey","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2016","PA","Pennsylvania","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2018","IA","Iowa","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2019","KS","Kansas","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","46.8","Percent of BFHI births"
"2012","IN","Indiana","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2017","MO","Missouri","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2018","MT","Montana","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2011","LA","Louisiana","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.0","Percent of BFHI births"
"2012","VT","Vermont","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","13.3","IBCLCs Count"
"2013","AR","Arkansas","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","1.9","IBCLCs Count"
"2014","HI","Hawaii","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2017","ID","Idaho","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2018","CO","Colorado","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2017","IL","Illinois","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","13.5","Percent of WIC Farmers Markets"
"2012","CA","California","Physical Activity","State provides guidance on policies for school districts or schools on time spent in moderate-to-vigorous intensity physical activity during physical education class","Yes","State Guidance on Policies for Time Spent in Activity During PE Class"
"2012","WY","Wyoming","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","66.9","Percent Sec Schools Allowing Sports Drink"
"2012","NC","North Carolina","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2014","NM","New Mexico","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","3.8","Percent of BFHI births"
"2011","OR","Oregon","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2011","MN","Minnesota","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2012","RI","Rhode Island","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","14.2","Percent of BFHI births"
"2018","MO","Missouri","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
